"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2018","5,341.29","5,341.29","5,341.29","5,341.29","-","-0.45%"
"Jun 12, 2018","5,365.22","5,365.22","5,365.22","5,365.22","-","0.73%"
"Jun 11, 2018","5,326.44","5,326.44","5,326.44","5,326.44","-","0.06%"
"Jun 10, 2018","5,323.29","5,323.29","5,323.29","5,323.29","-","-0.81%"
"Jun 07, 2018","5,366.66","5,366.66","5,366.66","5,366.66","-","-0.59%"
"Jun 06, 2018","5,398.75","5,398.75","5,398.75","5,398.75","-","0.97%"
"Jun 05, 2018","5,346.80","5,346.80","5,346.80","5,346.80","-","0.62%"
"Jun 04, 2018","5,313.70","5,313.70","5,313.70","5,313.70","-","-0.06%"
"Jun 03, 2018","5,316.96","5,316.96","5,316.96","5,316.96","-","-0.50%"
"May 31, 2018","5,343.87","5,343.87","5,343.87","5,343.87","-","-0.96%"
"May 30, 2018","5,395.75","5,395.75","5,395.75","5,395.75","-","-0.26%"
"May 29, 2018","5,409.69","5,409.69","5,409.69","5,409.69","-","-0.14%"
"May 28, 2018","5,417.42","5,417.42","5,417.42","5,417.42","-","-0.72%"
"May 27, 2018","5,456.82","5,456.82","5,456.82","5,456.82","-","0.50%"
"May 24, 2018","5,429.69","5,429.69","5,429.69","5,429.69","-","1.28%"
"May 23, 2018","5,361.09","5,361.09","5,361.09","5,361.09","-","-0.57%"
"May 22, 2018","5,391.89","5,391.89","5,391.89","5,391.89","-","-0.40%"
"May 21, 2018","5,413.28","5,413.28","5,413.28","5,413.28","-","0.42%"
"May 20, 2018","5,390.70","5,390.70","5,390.70","5,390.70","-","-0.97%"
"May 17, 2018","5,443.30","5,443.30","5,443.30","5,443.30","-","-1.24%"
"May 16, 2018","5,511.76","5,511.76","5,511.76","5,511.76","-","-0.67%"
"May 15, 2018","5,548.89","5,548.89","5,548.89","5,548.89","-","-0.16%"
"May 14, 2018","5,557.57","5,557.57","5,557.57","5,557.57","-","-0.02%"
"May 13, 2018","5,558.66","5,558.66","5,558.66","5,558.66","-","-0.51%"
"May 10, 2018","5,587.21","5,587.21","5,587.21","5,587.21","-","-0.71%"
"May 09, 2018","5,627.33","5,627.33","5,627.33","5,627.33","-","-0.27%"
"May 08, 2018","5,642.46","5,642.46","5,642.46","5,642.46","-","-0.72%"
"May 07, 2018","5,683.53","5,683.53","5,683.53","5,683.53","-","-0.19%"
"May 06, 2018","5,694.27","5,694.27","5,694.27","5,694.27","-","-0.08%"
"May 03, 2018","5,698.68","5,698.68","5,698.68","5,698.68","-","-0.71%"
"Apr 30, 2018","5,739.22","5,739.22","5,739.22","5,739.22","-","-1.28%"
"Apr 26, 2018","5,813.79","5,813.79","5,813.79","5,813.79","-","0.20%"
"Apr 25, 2018","5,802.02","5,802.02","5,802.02","5,802.02","-","0.43%"
"Apr 24, 2018","5,777.35","5,777.35","5,777.35","5,777.35","-","-0.50%"
"Apr 23, 2018","5,806.13","5,806.13","5,806.13","5,806.13","-","-0.12%"
"Apr 22, 2018","5,813.28","5,813.28","5,813.28","5,813.28","-","-0.52%"
"Apr 19, 2018","5,843.46","5,843.46","5,843.46","5,843.46","-","0.35%"
"Apr 18, 2018","5,822.99","5,822.99","5,822.99","5,822.99","-","0.78%"
"Apr 17, 2018","5,777.95","5,777.95","5,777.95","5,777.95","-","-0.12%"
"Apr 16, 2018","5,784.67","5,784.67","5,784.67","5,784.67","-","0.19%"
"Apr 15, 2018","5,773.60","5,773.60","5,773.60","5,773.60","-","-0.68%"
"Apr 12, 2018","5,813.13","5,813.13","5,813.13","5,813.13","-","-0.35%"
"Apr 11, 2018","5,833.26","5,833.26","5,833.26","5,833.26","-","-0.45%"
"Apr 10, 2018","5,859.60","5,859.60","5,859.60","5,859.60","-","-0.34%"
"Apr 09, 2018","5,879.41","5,879.41","5,879.41","5,879.41","-","0.24%"
"Apr 08, 2018","5,865.38","5,865.38","5,865.38","5,865.38","-","0.41%"
"Apr 05, 2018","5,841.19","5,841.19","5,841.19","5,841.19","-","0.83%"
"Apr 04, 2018","5,793.05","5,793.05","5,793.05","5,793.05","-","0.05%"
"Apr 03, 2018","5,790.28","5,790.28","5,790.28","5,790.28","-","-0.64%"
"Apr 02, 2018","5,827.51","5,827.51","5,827.51","5,827.51","-","1.40%"
"Apr 01, 2018","5,747.14","5,747.14","5,747.14","5,747.14","-","2.67%"
"Mar 29, 2018","5,597.44","5,597.44","5,597.44","5,597.44","-","1.98%"
"Mar 28, 2018","5,488.86","5,488.86","5,488.86","5,488.86","-","-0.05%"
"Mar 27, 2018","5,491.79","5,491.79","5,491.79","5,491.79","-","-1.41%"
"Mar 25, 2018","5,570.18","5,570.18","5,570.18","5,570.18","-","-0.19%"
"Mar 22, 2018","5,580.58","5,580.58","5,580.58","5,580.58","-","0.15%"
"Mar 21, 2018","5,572.05","5,572.05","5,572.05","5,572.05","-","-1.36%"
"Mar 20, 2018","5,648.90","5,648.90","5,648.90","5,648.90","-","-0.26%"
"Mar 19, 2018","5,663.76","5,663.76","5,663.76","5,663.76","-","-1.01%"
"Mar 18, 2018","5,721.69","5,721.69","5,721.69","5,721.69","-","0.02%"
"Mar 15, 2018","5,720.59","5,720.59","5,720.59","5,720.59","-","1.52%"
"Mar 14, 2018","5,635.05","5,635.05","5,635.05","5,635.05","-","0.20%"
"Mar 13, 2018","5,623.64","5,623.64","5,623.64","5,623.64","-","-1.44%"
"Mar 12, 2018","5,705.57","5,705.57","5,705.57","5,705.57","-","-1.17%"
"Mar 11, 2018","5,773.36","5,773.36","5,773.36","5,773.36","-","-0.94%"
"Mar 08, 2018","5,827.98","5,827.98","5,827.98","5,827.98","-","0.10%"
"Mar 07, 2018","5,822.18","5,822.18","5,822.18","5,822.18","-","-0.44%"
"Mar 06, 2018","5,847.81","5,847.81","5,847.81","5,847.81","-","0.21%"
"Mar 05, 2018","5,835.33","5,835.33","5,835.33","5,835.33","-","-0.82%"
"Mar 04, 2018","5,883.38","5,883.38","5,883.38","5,883.38","-","0.21%"
"Mar 01, 2018","5,870.83","5,870.83","5,870.83","5,870.83","-","1.14%"
"Feb 28, 2018","5,804.94","5,804.94","5,804.94","5,804.94","-","0.11%"
"Feb 27, 2018","5,798.42","5,798.42","5,798.42","5,798.42","-","0.41%"
"Feb 26, 2018","5,774.57","5,774.57","5,774.57","5,774.57","-","-0.99%"
"Feb 25, 2018","5,832.12","5,832.12","5,832.12","5,832.12","-","-1.27%"
"Feb 22, 2018","5,906.98","5,906.98","5,906.98","5,906.98","-","-0.03%"
"Feb 20, 2018","5,909.03","5,909.03","5,909.03","5,909.03","-","-0.53%"
"Feb 19, 2018","5,940.24","5,940.24","5,940.24","5,940.24","-","-0.18%"
"Feb 18, 2018","5,950.75","5,950.75","5,950.75","5,950.75","-","-1.64%"
"Feb 15, 2018","6,050.19","6,050.19","6,050.19","6,050.19","-","-0.85%"
"Feb 14, 2018","6,102.30","6,102.30","6,102.30","6,102.30","-","0.23%"
"Feb 13, 2018","6,088.37","6,088.37","6,088.37","6,088.37","-","0.10%"
"Feb 12, 2018","6,082.29","6,082.29","6,082.29","6,082.29","-","-0.19%"
"Feb 11, 2018","6,093.95","6,093.95","6,093.95","6,093.95","-","2.15%"
"Feb 08, 2018","5,965.62","5,965.62","5,965.62","5,965.62","-","0.49%"
"Feb 07, 2018","5,936.34","5,936.34","5,936.34","5,936.34","-","-0.22%"
"Feb 06, 2018","5,949.24","5,949.24","5,949.24","5,949.24","-","1.35%"
"Feb 05, 2018","5,869.78","5,869.78","5,869.78","5,869.78","-","-0.31%"
"Feb 04, 2018","5,888.29","5,888.29","5,888.29","5,888.29","-","-2.21%"
"Feb 01, 2018","6,021.44","6,021.44","6,021.44","6,021.44","-","-0.30%"
"Jan 31, 2018","6,039.78","6,039.78","6,039.78","6,039.78","-","-1.44%"
"Jan 30, 2018","6,127.80","6,127.80","6,127.80","6,127.80","-","-0.79%"
